scr_selcode,sub_name,scr_credit,scj_scr_mso,cls_name,scr_period,scr_precnt,scr_acptcnt,scr_remarks
53,跨領域畢業專題(一),3,選修,工程與科學學院綜合班,"(六)11-13 未排教室 戴國政,梁詩婷,林維崙,林孟玲,陳兆衡,鄒耀東,劉政樺,丘紀堇,蔡鈺鼎,吳俊哲",60,33,限工科院跨領域畢業專題計畫之專題生修習
54,實習輔導與職涯發展(二),1,選修,工程與科學學院綜合班,(日)01-02 未排教室 曾淑君,90,94,限工科院111-2校內外實習生修習
55,半導體封裝測試實務,3,選修,工程與科學學院碩士綜合班,(四)07-09 忠304 邱聖貴,90,54,與矽品公司合作開課
1009,班級活動,0,必修,機電一甲,(四)10     語307 黃振軒,60,50, 
1010,體育(二),1,必修,機電一甲,(四)01-02 體館503(桌球室) 張景星,60,61,課程內容：桌球，上課地點：體育館5F桌球室
1011,工廠加工實務(二),1,必修,機電一甲,(二)06     行208(電腦實習室) (二)06     工416 (二)07     行208(電腦實習室) (二)07     工416 王陳鴻,65,73, 
1012,工程圖學(二),2,必修,機電一甲,(一)06-08 紀207(電腦實習室) 陳子夏,65,74, 
1013,普通物理,3,必修,機電一甲,(三)08-10 語306 郭武彰,65,53, 
1014,普通物理實驗,1,必修,機電一甲,(二)02-04 科航102(物實驗室二) 林文凱,65,54, 
1015,微積分(二)實習,0,必修,機電一甲,(五)01-02 資電108 陳珮綺,60,50, 
1016,微積分(二),3,必修,機電一甲,(四)07-09 語307 袁長安,60,50, 
1017,應用力學(二),3,必修,機電一甲,(三)02-04 建301 郭武彰,65,70, 
3498,國防科技,1,必修,機電一甲,"(五)03-04 資電B22(視聽室) 許后宜,李建勲",60,110, 
3524,創意研發專論,3,選修,機電一甲,(三)11-13 紀207(電腦實習室) 曾正堂,60,33,
1018,班級活動,0,必修,機電一乙,(四)10     忠211 詹彥信,60,50, 
1019,體育(二),1,必修,機電一乙,(三)03-04 體館503(桌球室) 張景星,60,60,"課程內容：桌球,上課地點：體育館5F桌球室"
1020,工廠加工實務(二),1,必修,機電一乙,(二)08     行208(電腦實習室) (二)08     忠209 (二)09     行208(電腦實習室) (二)09     忠209 王陳鴻,65,64, 
1021,工程圖學(二),2,必修,機電一乙,(二)02-04 工319(電腦實習室) 魏立儒,65,67, 
1022,普通物理,3,必修,機電一乙,(一)02-04 語304 郭武彰,65,51, 
1023,普通物理實驗,1,必修,機電一乙,(三)08-10 科航101(物實驗室一) 蔣平志,65,51, 
1024,微積分(二)實習,0,必修,機電一乙,(五)01-02 資電B07,60,55, 
1025,微積分(二),3,必修,機電一乙,(四)07-09 忠211 黃新峰,60,55, 
1026,應用力學(二),3,必修,機電一乙,(一)06-08 工108 林孟儒,65,80, 
3498,國防科技,1,必修,機電一乙,"(五)03-04 資電B22(視聽室) 許后宜,李建勲",60,110, 
3524,創意研發專論,3,選修,機電一乙,(三)11-13 紀207(電腦實習室) 曾正堂,60,33,
1027,班級活動,0,必修,機電二甲,(二)06     語103 魏立儒,60,62, 
1028,工程數學(二),3,必修,機電二甲,(四)02-04 忠210 詹彥信,70,70, 
1029,工程材料學(二),1,必修,機電二甲,(三)09     工416 陳子夏,70,72, 
1030,工程材料學實驗,1,必修,機電二甲,(三)07-08 工416 陳子夏,70,69, 
1031,材料力學(二),3,必修,機電二甲,(二)07-09 語103 袁長安,75,70, 
1032,計算機程式,3,必修,機電二甲,(四)06-08 工319(電腦實習室) 陳秋宏,65,68, 
1033,電工學,3,必修,機電二甲,(二)02-04 語206 羅致卿,64,68, 
1034,電腦輔助立體繪圖,2,必修,機電二甲,(一)09-10 工319(電腦實習室) 彭信舒,65,66, 
1035,熱力學(二),3,必修,機電二甲,(一)02-04 語105 張文政,70,67, 
1036,機動學(二),2,必修,機電二甲,(三)03-04 工303 劉顯光,70,69, 
1047,虛實整合-3D列印技術,3,選修,機電二甲,(一)06-08 行208(電腦實習室) 魏立儒,40,40,
1037,班級活動,0,必修,機電二乙,(二)06     忠309 陳秋宏,60,64, 
1038,工程數學(二),3,必修,機電二乙,(三)02-04 忠308 黃振軒,70,70, 
1039,工程材料學(二),1,必修,機電二乙,(二)09     忠309 戴國政,70,70, 
1040,工程材料學實驗,1,必修,機電二乙,(二)07-08 忠309 戴國政,70,68, 
1041,材料力學(二),3,必修,機電二乙,(四)07-09 工416 林孟儒,75,77, 
1042,計算機程式,3,必修,機電二乙,(三)06-08 工319(電腦實習室) 王坤卿,65,68, 
1043,電工學,3,必修,機電二乙,(一)02-04 工108 羅致卿,75,74, 
1044,電腦輔助立體繪圖,2,必修,機電二乙,(三)09-10 工319(電腦實習室) 彭信舒,65,65, 
1045,熱力學(二),3,必修,機電二乙,(二)02-04 語105 黃振軒,70,76, 
1046,機動學(二),2,必修,機電二乙,(四)03-04 工108 劉顯光,70,70, 
1047,虛實整合-3D列印技術,3,選修,機電二乙,(一)06-08 行208(電腦實習室) 魏立儒,40,40,
1048,大三英文,2,必修,機電三甲,(三)09-10 忠206 廖芳瑜,60,59, 
1049,專題實作(二),2,必修,機電三甲,(四)06-09 資電222(第三國會廳) 黃振軒,60,59, 
1050,熱傳學,3,必修,機電三甲,"(二)02-04 工108 王啟昌,楊典忠",75,67, 
1051,機械製造(二),2,必修,機電三甲,(五)03-04 工303 戴國政,70,62, 
1052,機械設計(二),3,必修,機電三甲,(四)02-04 語202 朱智義,70,64, 
1053,機械工程實驗(二),1,必修,機電三甲,"(三)11-13 忠206 王啟昌,黃振軒",70,57, 
1060,田口方法原理與應用,2,選修,機電三甲,(三)03-04 工416 羅致卿,60,20,
1061,先進模造技術與實務操作,3,選修,機電三甲,(三)02-04 工209 彭信舒,24,22,
1062,非破壞性檢驗,3,選修,機電三甲,(二)11-13 忠209 王姿蘋,60,28,
1063,流體動力學,3,選修,機電三甲,(一)06-08 忠204 劉明山,60,21,
1064,專業實習導論,1,選修,機電三甲,(一)00     未排教室 戴國政,60,0,
1065,智慧自動化技術與實務,3,選修,機電三甲,(三)06-08 建101A 陳秋宏,36,24,
1066,電腦輔助設計,2,選修,機電三甲,(三)07-08 工209 詹彥信,24,23,
1067,雷射工程導論,3,選修,機電三甲,(三)02-04 語202 林源堂,60,56,
1068,精密光學元件製造技術導論,3,選修,機電三甲,(三)06-08 語203 黃立倫,60,52,
1069,機電整合,3,選修,機電三甲,(三)02-04 理203(數電腦室) 何志成,32,18,
3525,加熱系統之設計原理及產業應用,3,選修,機電三甲,"(二)11-13 工209 詹彥信,吳晏城",20,12,此門課為學碩合班上課，請至機電系辦理選課。
3624,機械量測學,3,選修,機電三甲,(四)11-13 忠309 蔡文卿,60,54,
1054,大三英文,2,必修,機電三乙,(三)09-10 忠207 陳柏軒,60,55, 
1055,專題實作(二),2,必修,機電三乙,(四)06-09 資電222(第三國會廳) 詹彥信,60,59, 
1056,熱傳學,3,必修,機電三乙,(四)02-04 語103 黃振軒,70,77, 
1057,機械製造(二),2,必修,機電三乙,(五)03-04 語305 劉顯光,70,67, 
